blue 0    1679001418-520830
blue 1    1679001418-521173
blue 2    1679001418-521266
blue 3    1679001418-521309
blue 4    1679001418-521365
blue 5    1679001418-521406
blue 6    1679001418-521439
blue 7    1679001418-521495
blue 8    1679001418-521574
blue 9    1679001418-521619
blue 10   1679001418-521658
blue 11   1679001418-521711
blue 12   1679001418-521767
blue 13   1679001418-521800
blue 14   1679001418-521842
blue 15   1679001418-521895
blue 16   1679001418-521939
blue 17   1679001418-521981
blue 18   1679001418-522036
blue 19   1679001418-522091
blue 20   1679001418-522166
blue 21   1679001418-522215
blue 22   1679001418-522242
blue 23   1679001418-522297
blue 24   1679001418-522352
blue 25   1679001418-522395
blue 26   1679001418-522453
blue 27   1679001418-522507
blue 28   1679001418-522540
blue 29   1679001418-522600
blue 30   1679001418-522655
blue 31   1679001418-522701
blue 32   1679001418-522776
blue 33   1679001418-522823
blue 34   1679001418-522858
blue 35   1679001418-522894
blue 36   1679001418-522933
blue 37   1679001418-522969
blue 38   1679001418-523012
blue 39   1679001418-523052
blue 40   1679001418-523101
blue 41   1679001418-523140
blue 42   1679001418-523217
blue 43   1679001418-523346
blue 44   1679001418-523413
blue 45   1679001418-523457
blue 46   1679001418-523511
blue 47   1679001418-523564
blue 48   1679001418-523588
blue 49   1679001418-523640
blue 50   1679001418-523678
blue 51   1679001418-523797
blue 52   1679001418-523820
blue 53   1679001418-523843
blue 54   1679001418-523885
blue 55   1679001418-523917
blue 56   1679001418-523976
blue 57   1679001418-524032
blue 58   1679001418-524092
blue 59   1679001418-524139
blue 60   1679001418-524188
blue 61   1679001418-524240
blue 62   1679001418-524295
blue 63   1679001418-524328
blue 64   1679001418-524386
blue 65   1679001418-524418
blue 66   1679001418-524466
blue 67   1679001418-524519
blue 68   1679001418-524573
blue 69   1679001418-524618
blue 70   1679001418-524677
blue 71   1679001418-524731
blue 72   1679001418-524764
blue 73   1679001418-524787
blue 74   1679001418-524831
blue 75   1679001418-524873
blue 76   1679001418-524906
blue 77   1679001418-524964
blue 78   1679001418-525002
blue 79   1679001418-525036
blue 80   1679001418-525092
blue 81   1679001418-525139
blue 82   1679001418-525154
blue 83   1679001418-525176
blue 84   1679001418-525221
blue 85   1679001418-525250
blue 86   1679001418-525299
blue 87   1679001418-525342
blue 88   1679001418-525381
blue 89   1679001418-525419
blue 90   1679001418-525485
blue 91   1679001418-525547
blue 92   1679001418-525598
blue 93   1679001418-525632
blue 94   1679001418-525679
blue 95   1679001418-525695
blue 96   1679001418-525733
blue 97   1679001418-525774
blue 98   1679001418-525791
blue 99   1679001418-525829
